"huc8","population","area_m2","nColleges","nLentic","nLotic","nhdFeatures","padus_area_m2","area_km2","padus_area_km2","popDens","eduDens","parkDens","nSites","siteDens","med_age","med_income","bachDeg25p","vacRecHs","openWater","developed","forest","plantCult","wetland"
"17110012",1558246,1572339173.03016,30,90,338,428,476605975.201622,1572.33917303016,476.605975201622,991.03681109528,0.0190798528171151,0.303119061953486,662,0.421028752164341,37.7,73908,0.311113539200317,0.177860696517413,0.0885684860968074,0.479402677651905,0.407826982492276,0.00669412976313079,0.00669412976313079
"17110013",519284,1257912427.50146,10,54,389,443,359761731.697275,1257.91242750146,359.761731697275,412.814110622496,0.00794967899304611,0.285999028097572,146,0.116065313298473,36.15,62588,0.177433110417071,0.226864191408913,0.00706486833654464,0.260757867694284,0.592806679511882,0.0648683365446371,0.00706486833654464
"17110014",358379,2550698017.75441,1,89,1086,1175,1111805557.57135,2550.69801775441,1111.80555757135,140.502324267892,0.000392049546061271,0.435882864154246,28,0.0109773872897156,36.25,65248,0.14169806103757,0.24614910659273,0.0079719387755102,0.0991709183673469,0.665497448979592,0.0420918367346939,0.00860969387755102
"17110015",158012,1991414130.0411,0,78,463,541,837247907.152205,1991.4141300411,837.247907152205,79.3466299230983,0,0.420428827194736,11,0.00552371294049871,38.3,64905,0.132629910338337,0.351190476190476,0.0105820105820106,0.0431420431420432,0.679283679283679,0.0980870980870981,0.0264550264550265
"17110016",157473,442168249.794326,1,32,98,130,61119315.1360218,442.168249794326,61.1193151360218,356.138189644436,0.00226158255475184,0.138226376870007,4,0.00904633021900735,38.05,61460.5,0.19075370557601,0.166666666666667,0.00915750915750916,0.159340659340659,0.516483516483517,0.111721611721612,0.0201465201465202
"17110017",26269,634467364.778883,0,18,173,191,438692624.604588,634.467364778883,438.692624604588,41.4032327874814,0,0.69143449916841,0,0,45,46888,0.103527037076384,0.867980884109916,0.0265822784810127,0.00126582278481013,0.839240506329114,0.0151898734177215,0.0240506329113924
"17110018",101493,2459085087.90786,0,99,601,700,1271870816.88092,2459.08508790786,1271.87081688092,41.2726670171255,0,0.517213016798456,2,0.000813310612892033,44.15,60030,0.177351375332742,0.749957417816386,0.171720500988794,0.007910349373764,0.684245220830587,0.0029663810151615,0.0069215557020435
"17110019",1928453,6355867083.09398,27,233,708,941,467346780.344152,6355.86708309398,467.346780344152,303.413047313325,0.0042480435237259,0.073529980132412,291,0.0457844690890458,38.65,59126.5,0.201722803030649,0.301425035124105,0.425767809353893,0.178284694787817,0.29743851153307,0.0277813177010323,0.0164394035937301
"17110020",80317,4233587960.23042,2,26,503,529,1605312789.57441,4233.58796023042,1605.31278957441,18.9713785929296,0.000472412530172432,0.379184938320506,8,0.00188965012068973,47.8,46319.5,0.157011527798045,0.496541409609273,0.309592188397473,0.016082711085583,0.396323951751866,0.0271874401684855,0.00210606930882634
"17110021",8453,6393731939.19377,0,2,249,251,418682689.171791,6393.73193919377,418.682689171791,1.32207607081286,0,0.0654833035156281,1,0.000156403178849268,40.4,47885.5,0.111431478968792,0.702631578947368,0.165926677660789,0,0.101103640745909,0.0010148420652036,0.0012685525815045
"17120001",7364,3761906721.03564,0,83,665,748,2206561867.788,3761.90672103564,2206.561867788,1.95751796790238,0,0.586554115084635,1,0.000265822646374577,45.35,39703,0.109628770301624,0.529550827423168,0.114789337919175,0,0.0552450558899398,0.135210662080825,0.00408426483233019
"17120002",14713,3414367649.65289,0,44,1048,1092,2130610407.56175,3414.36764965289,2130.61040756175,4.30914345193487,0,0.624013177894991,2,0.000585760001622357,47,37529,0.113625648279114,0.446376811594203,0.00380047505938242,0.00118764845605701,0.410451306413302,0.100950118764846,0.0258907363420427
"17120003",2063,2045470101.49145,0,44,730,774,1568864972.60128,2045.47010149145,1568.86497260128,1.00857010742703,0,0.766994820142981,1,0.000488885170832295,46.7,42180,0.117725752508361,0.640625,0.00238189757840413,0,0.0250099245732434,0.0194521635569671,0.0639142516871774
"17120004",13134,4361226982.33006,0,123,1183,1306,3767740002.0306,4361.22698233006,3767.7400020306,3.01153782025418,0,0.863917429039114,0,0,48.55,39355,0.101224746153041,0.615065653075328,0.000929713648196356,0,0.0849758274451469,0.0206396429899591,0.0119003346969134
